"PAStrategy","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"disk",0.0272762606729801,0.00506107607984759,Inf,0.0173567338334616,0.0371957875124985,"Schoener's D"
"random",0.0493698373419567,0.00506107607984761,Inf,0.0394503105024382,0.0592893641814752,"Schoener's D"
"disk",24.1490782660616,4.83873191493084,Inf,14.6653379819526,33.6328185501706,"Mean Suitablilty"
"random",21.0264038822617,4.83873191493086,Inf,11.5426635981527,30.5101441663707,"Mean Suitablilty"
"disk",4.14538318091147,0.674214447593289,Inf,2.82394714577206,5.46681921605089,"Suitable Area"
"random",3.71772585412918,0.674214447593293,Inf,2.39628981898976,5.0391618892686,"Suitable Area"
"disk",11.6494206000179,15.20663924834,Inf,-18.1550446526217,41.4538858526576,"Elevation Centroid"
"random",-42.8056570559716,15.20663924834,Inf,-72.6101223086113,-13.001191803332,"Elevation Centroid"
"disk",-11.9781319266651,3.27139227355248,Inf,-18.3899429621305,-5.56632089119961,"Model Performance (TSS)"
"random",-6.70209045718282,3.27139227355248,Inf,-13.1139014926483,-0.290279421717353,"Model Performance (TSS)"
