"PANumber","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"1",0.0373479393393332,0.00509072016206077,Inf,0.0273703111663222,0.0473255675123442,"Schoener's D"
"3",0.0389060613350524,0.00509072016206079,Inf,0.0289284331620414,0.0488836895080634,"Schoener's D"
"5",0.0387151463480195,0.00509072016206079,Inf,0.0287375181750085,0.0486927745210306,"Schoener's D"
"1",27.7254672583048,4.85622835310724,Inf,18.2074345855123,37.2434999310972,"Mean Suitablilty"
"3",21.0592276829449,4.85622835310726,Inf,11.5411950101524,30.5772603557373,"Mean Suitablilty"
"5",18.9785282812354,4.85622835310726,Inf,9.46049560844288,28.4965609540278,"Mean Suitablilty"
"1",4.01399418951632,0.678185434470214,Inf,2.68477516311505,5.34321321591759,"Suitable Area"
"3",3.89792030936998,0.678185434470218,Inf,2.5687012829687,5.22713933577125,"Suitable Area"
"5",3.88274905367468,0.678185434470218,Inf,2.55353002727341,5.21196808007596,"Suitable Area"
"1",-11.8331721503651,15.2217550951506,Inf,-41.6672639183494,18.0009196176192,"Elevation Centroid"
"3",-16.0362488631065,15.2217550951506,Inf,-45.8703406310908,13.7978429048777,"Elevation Centroid"
"5",-18.8649336704589,15.2217550951506,Inf,-48.6990254384432,10.9691580975253,"Elevation Centroid"
"1",-9.63214978278625,3.34320398023982,Inf,-16.1847091770273,-3.07959038854524,"Model Performance (TSS)"
"3",-10.8397391004337,3.34320398023983,Inf,-17.3922984946747,-4.2871797061927,"Model Performance (TSS)"
"5",-7.54844469255186,3.34320398023983,Inf,-14.1010040867929,-0.995885298310841,"Model Performance (TSS)"
