"PAStrategy","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"disk",0.00998942266516019,0.0116105496639336,Inf,-0.0127668365168632,0.0327456818471836,"Schoener's D"
"random",0.02640399183452,0.0116105496639335,Inf,0.0036477326524967,0.0491602510165434,"Schoener's D"
"disk",3.0064330528518,10.9803620798461,Inf,-18.5146811608559,24.5275472665595,"Mean Suitablilty"
"random",-1.07116492699912,10.9803620798461,Inf,-22.5922791407067,20.4499492867085,"Mean Suitablilty"
"disk",1.34986924373256,1.59948518875959,Inf,-1.78506412004149,4.48480260750661,"Suitable Area"
"random",0.818245889690178,1.59948518875959,Inf,-2.31668747408387,3.95317925346422,"Suitable Area"
"disk",8.64177960714738,28.4917800749111,Inf,-47.2010831951143,64.4846424094091,"Elevation Centroid"
"random",-53.5952013978165,28.491780074911,Inf,-109.438064200078,2.24766140444502,"Elevation Centroid"
