"Species","NicheBreadth","Occurrences","LogOccurrences","Bootstrap","Algorithm","PAStrategy","PANumber","MeanSuitability","SuitableArea","SchoenersD","ElevationCentroid","TSS"
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"RF","random",1,103.895260701858,7.79861111111099,0.680810977363179,2306.24883863241,480
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"MAXENT","random",1,45.8340841043347,17.0677083333331,0.36101577140224,2541.58136030513,30
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GLM","random",3,123.140128934804,25.0954861111107,0.772511799050939,2279.39057744568,242
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GAM","random",3,132.792045423893,27.6701388888885,0.778833453087255,2330.08072192573,210
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"RF","random",3,51.1664283980255,3.30208333333328,0.554688066130521,2433.86710531379,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"MAXENT","random",3,51.898726836242,20.4843749999997,0.488537793726718,2455.21219942501,50
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GLM","random",5,92.9606856742103,26.5347222222218,0.727452390822499,2344.86859113814,143
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GAM","random",5,100.473983761767,31.6510416666662,0.735489578271095,2390.42171059838,108
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"RF","random",5,35.9560866398727,2.37499999999996,0.485527918523205,2510.71574643661,455
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"MAXENT","random",5,49.8019717853964,15.8958333333331,0.503065188550921,2495.61335524372,81
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GLM","disk",1,266.156744800798,29.4392361111106,0.914829216112323,2106.98419682973,606
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GAM","disk",1,272.687360073369,34.071180555555,0.915248055051326,2109.0567190425,505
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"RF","disk",1,236.046988374289,28.4305555555551,0.847341181917742,2127.82485518748,495
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"MAXENT","disk",1,129.3723599385,24.8645833333329,0.568796227641928,2256.93296639865,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GLM","disk",3,206.380087934615,31.9826388888884,0.852219110574678,2143.48014920412,303
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GAM","disk",3,208.910905510749,34.7326388888883,0.868341651881225,2162.49728991289,253
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"RF","disk",3,181.285382893211,21.130208333333,0.778550621010763,2173.81816848101,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"MAXENT","disk",3,105.486391713646,15.5642361111109,0.398603370612171,2297.16318587198,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GLM","disk",5,178.586289213174,35.789930555555,0.802187852421196,2166.4138416318,141
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"GAM","disk",5,178.934642462169,35.7673611111105,0.818622477643652,2189.52504747014,152
